"TRIP_ID","CALL_TYPE","ORIGIN_CALL","ORIGIN_STAND","TAXI_ID","TIMESTAMP","DAY_TYPE","MISSING_DATA","POLYLINE"
"T1","B",NA,15,20000542,1408039037,"A","False","[[-8.585676, 41.148522], [-8.585712000000001, 41.148638999999996], [-8.585685000000002, 41.148855000000005], [-8.585730000000002, 41.14892699999999], [-8.585982, 41.148962999999995], [-8.586396, 41.148954], [-8.586072, 41.14872], [-8.586324000000001, 41.147847], [-8.586999, 41.147459999999995], [-8.586575999999999, 41.14715400000001], [-8.584883999999999, 41.146623000000005]]"
"T2","B",NA,57,20000108,1408038611,"A","False","[[-8.610876000000001, 41.14557], [-8.610858, 41.145579000000005], [-8.610903, 41.145768], [-8.610444, 41.146190999999995], [-8.609445000000001, 41.146758], [-8.608896, 41.147118], [-8.608968, 41.147127], [-8.608707, 41.147532000000005], [-8.608347, 41.148117000000006], [-8.608149, 41.148351000000005], [-8.608041, 41.148576000000006], [-8.607654, 41.14926], [-8.607348000000002, 41.149899000000005], [-8.607393, 41.149899000000005], [-8.607357, 41.149962], [-8.606817, 41.150979], [-8.606358, 41.151914999999995], [-8.605719, 41.152788], [-8.604981, 41.153318999999996], [-8.604783, 41.154345], [-8.604828, 41.154372], [-8.604801, 41.155353], [-8.604648000000001, 41.156774999999996], [-8.604522, 41.158197], [-8.604513, 41.159943000000005], [-8.604377999999999, 41.16055500000001], [-8.604377999999999, 41.1606], [-8.604369, 41.160644999999995], [-8.60436, 41.160807], [-8.604162, 41.161176], [-8.604126, 41.161248], [-8.60409, 41.16129300000001], [-8.60409, 41.161266000000005], [-8.604108, 41.161239], [-8.604126, 41.161194], [-8.604135, 41.161275], [-8.60391, 41.162048999999996], [-8.602929000000001, 41.162832], [-8.602551000000002, 41.163111], [-8.601894, 41.163597]]"
"T3","B",NA,15,20000370,1408038568,"A","False","[[-8.585739, 41.148558], [-8.585730000000002, 41.148828], [-8.585721, 41.14897200000001], [-8.586288, 41.14901700000001], [-8.586117, 41.14856699999999], [-8.586198, 41.148315000000004], [-8.586279000000001, 41.147918999999995], [-8.587152, 41.147324999999995], [-8.585685000000002, 41.146839], [-8.584281, 41.14620000000001], [-8.583075000000001, 41.145111], [-8.581365, 41.144850000000005], [-8.579511, 41.145651], [-8.579348999999999, 41.145858000000004], [-8.579232, 41.146308], [-8.5797, 41.147847], [-8.578728, 41.150241], [-8.580024, 41.152077], [-8.581517999999999, 41.153292], [-8.582022, 41.153832], [-8.582409, 41.15439000000001], [-8.582679, 41.154903000000004], [-8.582895, 41.155578], [-8.582985, 41.156487], [-8.582949, 41.156991], [-8.582742, 41.157774], [-8.582508, 41.15838600000001], [-8.582346000000001, 41.158773], [-8.582130000000001, 41.15929500000001], [-8.5815, 41.160816000000004], [-8.580978, 41.162715], [-8.580411000000002, 41.163965999999995], [-8.579870999999999, 41.164038000000005], [-8.578791, 41.16476699999999], [-8.577621, 41.165361000000004], [-8.577513, 41.165415], [-8.577342, 41.165739], [-8.576946, 41.166441], [-8.575902000000001, 41.167233], [-8.574903, 41.167719]]"
"T4","B",NA,53,20000492,1408039090,"A","False","[[-8.613963, 41.141169], [-8.614125000000001, 41.141124000000005], [-8.615088, 41.140926], [-8.615276999999999, 41.140818], [-8.615259, 41.140809000000004], [-8.615241000000001, 41.1408], [-8.615052, 41.140818], [-8.614638, 41.14097999999999]]"
"T5","B",NA,18,20000621,1408039177,"A","False","[[-8.619902999999999, 41.148036000000005], [-8.619894, 41.148036000000005]]"
"T6","A",42612,NA,20000607,1408037146,"A","False","[[-8.630613000000002, 41.178248999999994], [-8.630613000000002, 41.178248999999994], [-8.630739, 41.178231000000004], [-8.631513, 41.178141000000004], [-8.631306, 41.178114], [-8.630028000000001, 41.177889], [-8.629425, 41.177817000000005], [-8.629173, 41.17797000000001], [-8.629056, 41.178042], [-8.62866, 41.177394], [-8.627958000000001, 41.176152], [-8.627967, 41.176125], [-8.627985, 41.17610700000001], [-8.627778, 41.175684000000004], [-8.627156999999999, 41.174127], [-8.626275, 41.172588000000005], [-8.626221000000001, 41.171922], [-8.626419, 41.171895], [-8.626419, 41.171904000000005], [-8.626428, 41.171913], [-8.626428, 41.171913], [-8.626419, 41.171913], [-8.626410000000002, 41.171922], [-8.626401, 41.171922], [-8.626410000000002, 41.171930999999994], [-8.626410000000002, 41.171930999999994], [-8.626419, 41.171930999999994], [-8.626419, 41.171922], [-8.626419, 41.171922], [-8.626419, 41.171913], [-8.626437000000001, 41.171913], [-8.626446, 41.171922], [-8.626446, 41.171913], [-8.626446, 41.171913], [-8.626437000000001, 41.171913], [-8.626428, 41.171913], [-8.626437000000001, 41.171913], [-8.626437000000001, 41.171904000000005], [-8.626437000000001, 41.171904000000005], [-8.626428, 41.171913], [-8.626428, 41.171904000000005], [-8.626437000000001, 41.171895], [-8.626446, 41.171895], [-8.626446, 41.171886], [-8.626446, 41.171886], [-8.626437000000001, 41.171886], [-8.626437000000001, 41.171877], [-8.626446, 41.171877], [-8.626446, 41.171895], [-8.626446, 41.171895], [-8.626446, 41.171895], [-8.626446, 41.171913], [-8.626446, 41.171913], [-8.626437000000001, 41.171922], [-8.626446, 41.171922], [-8.626455, 41.171930999999994], [-8.626464, 41.171922], [-8.626464, 41.171922], [-8.626464, 41.171930999999994], [-8.626464, 41.171922], [-8.626455, 41.171922], [-8.626455, 41.171922], [-8.626446, 41.171930999999994], [-8.626446, 41.171922], [-8.626437000000001, 41.171922], [-8.626437000000001, 41.171913], [-8.626437000000001, 41.171913], [-8.626446, 41.171913], [-8.626455, 41.171913], [-8.626464, 41.171913], [-8.626464, 41.171913], [-8.626464, 41.171904000000005], [-8.626455, 41.171904000000005], [-8.626455, 41.171904000000005], [-8.626446, 41.171913], [-8.626446, 41.171913], [-8.626437000000001, 41.171922], [-8.626437000000001, 41.171922], [-8.626446, 41.171922], [-8.626446, 41.171913], [-8.626446, 41.171904000000005], [-8.626455, 41.171904000000005], [-8.626464, 41.171895], [-8.626464, 41.171895], [-8.626464, 41.171895], [-8.626473, 41.171895], [-8.626473, 41.171895], [-8.626464, 41.171904000000005], [-8.626464, 41.171913], [-8.626455, 41.171913], [-8.626455, 41.171913], [-8.626455, 41.171913], [-8.626455, 41.171904000000005], [-8.626446, 41.171904000000005], [-8.626437000000001, 41.171913], [-8.626437000000001, 41.171922], [-8.626437000000001, 41.171922], [-8.626446, 41.171930999999994], [-8.626446, 41.171930999999994], [-8.626446, 41.171940000000006], [-8.626446, 41.171949], [-8.626455, 41.171949], [-8.626455, 41.171949], [-8.626464, 41.171940000000006], [-8.626473, 41.171930999999994], [-8.626473, 41.171930999999994], [-8.626473, 41.171930999999994], [-8.626509, 41.171930999999994], [-8.626689, 41.171895], [-8.626698000000001, 41.171895], [-8.62668, 41.171868], [-8.626662, 41.171859], [-8.626878000000001, 41.171886], [-8.626842, 41.171859], [-8.626833000000001, 41.171886], [-8.626842, 41.171904000000005], [-8.626842, 41.171904000000005], [-8.626851, 41.171904000000005], [-8.626842, 41.171904000000005], [-8.626833000000001, 41.171904000000005], [-8.626824, 41.171859], [-8.626778999999999, 41.171832], [-8.626509, 41.171886], [-8.626455, 41.171904000000005], [-8.626455, 41.171904000000005], [-8.626455, 41.171904000000005], [-8.626428, 41.171913], [-8.626410000000002, 41.171922], [-8.626410000000002, 41.171922], [-8.626419, 41.171913], [-8.626419, 41.171913], [-8.626428, 41.171913], [-8.626419, 41.171922], [-8.626401, 41.171940000000006], [-8.626392, 41.171958], [-8.626401, 41.171967], [-8.626410000000002, 41.171958]]"
"T7","B",NA,15,20000310,1408038846,"A","False","[[-8.585622, 41.148918], [-8.585640000000001, 41.1489], [-8.585919, 41.148945], [-8.586369000000001, 41.14892699999999], [-8.586126, 41.148558], [-8.586288, 41.147928], [-8.586747, 41.147613], [-8.586791999999999, 41.147217000000005], [-8.584992, 41.146749], [-8.583660000000002, 41.14584], [-8.582364, 41.14484100000001], [-8.580339, 41.145219], [-8.579412, 41.14588499999999], [-8.579177999999999, 41.145948000000004], [-8.579745, 41.146515], [-8.579502, 41.14809], [-8.578700999999999, 41.150106], [-8.579303999999999, 41.151312000000004], [-8.580069, 41.152004999999996], [-8.580681, 41.1525], [-8.581185, 41.152923], [-8.581563000000001, 41.153273999999996], [-8.581806, 41.153517], [-8.582049, 41.153777999999996]]"
"T8","A",31780,NA,20000619,1408038948,"A","False","[[-8.582922, 41.181057], [-8.582004, 41.181813000000005], [-8.581077, 41.182965], [-8.580114, 41.184018], [-8.579214, 41.184774000000004], [-8.578341000000002, 41.18555700000001], [-8.577549000000001, 41.186097000000004], [-8.576792999999999, 41.186178], [-8.575443, 41.18666400000001], [-8.5752, 41.1867], [-8.5752, 41.186682], [-8.575173, 41.186673], [-8.575155, 41.18666400000001], [-8.575884, 41.186519999999994], [-8.577027000000001, 41.18607000000001], [-8.577531, 41.186097000000004], [-8.578773, 41.185241999999995]]"
"T9","B",NA,9,20000503,1408038563,"A","False","[[-8.606529, 41.14467], [-8.606673, 41.144724], [-8.606799, 41.144706], [-8.60679, 41.144679000000004], [-8.606708999999999, 41.144724], [-8.607249, 41.144436], [-8.607807, 41.143662], [-8.60796, 41.143401], [-8.607996, 41.143392], [-8.608014, 41.143365], [-8.608041, 41.143329], [-8.607249, 41.142447000000004], [-8.605341, 41.14300500000001], [-8.605323000000002, 41.143131000000004], [-8.605188, 41.143446], [-8.605170000000001, 41.143536], [-8.604954000000001, 41.143788], [-8.603271000000001, 41.143266000000004], [-8.601993, 41.142087000000004], [-8.601381, 41.139477], [-8.601237000000001, 41.13770400000001], [-8.601246, 41.137730999999995], [-8.601282000000001, 41.137677000000004], [-8.602092, 41.136399], [-8.601840000000001, 41.133995999999996], [-8.599535999999999, 41.132951999999996], [-8.597637, 41.132097], [-8.597142000000002, 41.130747], [-8.597862, 41.129145], [-8.598303, 41.126769], [-8.598716999999999, 41.125113], [-8.599995, 41.12501400000001], [-8.60031, 41.125004999999994], [-8.60085, 41.124996], [-8.602668000000001, 41.124987], [-8.603118, 41.124996], [-8.603739000000001, 41.124996], [-8.603774999999999, 41.125004999999994], [-8.604513, 41.125095], [-8.60499, 41.125104], [-8.605485, 41.125716000000004], [-8.605494, 41.125779], [-8.605494, 41.12577]]"
"T10","B",NA,15,20000327,1408038021,"A","False","[[-8.585658, 41.148576000000006], [-8.585703, 41.148603], [-8.585730000000002, 41.148603], [-8.585739, 41.148603], [-8.585730000000002, 41.148612], [-8.585721, 41.148621], [-8.585730000000002, 41.14864800000001], [-8.585775, 41.148936000000006], [-8.586297, 41.148990000000005], [-8.586126, 41.14872], [-8.586207, 41.148243], [-8.586306, 41.147865], [-8.586603, 41.147684999999996], [-8.586621000000001, 41.147693999999994], [-8.586657, 41.147693999999994], [-8.586837, 41.147577], [-8.587035, 41.147253], [-8.585865, 41.146911], [-8.584137, 41.146128], [-8.582904, 41.144985000000005], [-8.580689999999999, 41.14506599999999], [-8.579574000000001, 41.145705], [-8.579313, 41.145903], [-8.579844000000001, 41.146587], [-8.579151000000001, 41.148621], [-8.579286000000002, 41.151339], [-8.581301999999999, 41.153103], [-8.582616, 41.154732], [-8.582751, 41.155038000000005], [-8.582804999999999, 41.155218], [-8.582931, 41.155794], [-8.582985, 41.15640600000001], [-8.582922, 41.157045], [-8.582625, 41.158071], [-8.582256, 41.159025], [-8.582085000000001, 41.159439], [-8.581725, 41.160321], [-8.581266000000001, 41.161500000000004], [-8.581122, 41.161923], [-8.581040999999999, 41.162274], [-8.581032, 41.162688], [-8.581122, 41.163102], [-8.581239, 41.16339], [-8.581797000000002, 41.16429], [-8.582463, 41.165424], [-8.583003, 41.166027], [-8.583624, 41.166405000000005], [-8.584263, 41.166612], [-8.584749, 41.16671100000001], [-8.585037, 41.166737999999995], [-8.585334, 41.166756], [-8.585577, 41.166774000000004], [-8.585640000000001, 41.166782999999995], [-8.585901, 41.166810000000005], [-8.586333000000002, 41.166918], [-8.586918, 41.167116], [-8.586873, 41.16716099999999], [-8.587223999999999, 41.16735], [-8.587485, 41.167548000000004], [-8.587593, 41.16771], [-8.587827, 41.1678], [-8.588403, 41.167962], [-8.588817, 41.168124000000006], [-8.588898, 41.168231999999996], [-8.58915, 41.168448], [-8.589528, 41.16865500000001], [-8.590302, 41.16902399999999], [-8.590959, 41.16939300000001], [-8.591508000000001, 41.169753], [-8.59257, 41.170392], [-8.594325000000001, 41.171760000000006], [-8.594216999999999, 41.17424400000001], [-8.59329, 41.177484], [-8.593011, 41.181741], [-8.594334, 41.186313], [-8.593956, 41.19044400000001], [-8.591166000000001, 41.194206], [-8.588259, 41.197401], [-8.586306, 41.199273000000005]]"
